Table No.,ICSD No.,Space Group,Struct.formula,,元素1,元素1数,族1,周期1,,元素2,元素2数,族2,周期2,晶系,,
2,190890,P -1,Ir Te2,Ir,Ir,1,9,6,Te2,Te,2,16,5,Triclinic,,
2,416498,P -1,Li B0.5,Li,Li,1,1,2,B0.5,B,0.5,13,2,Triclinic,,
2,409917,P -1,Nb Br5,Nb,Nb,1,5,5,Br5,Br,5,17,4,Triclinic,,
2,409911,P -1,Re8 Al32.06,Re8,Re,8,7,6,Al32.06,Al,32.06,13,3,Triclinic,,
2,391406,P -1,Ta I4,Ta,Ta,1,5,6,I4,I,4,17,5,Triclinic,,
2,418805,P -1,Cu2 P20,Cu2,Cu,2,11,4,P20,P,20,15,3,Triclinic,,
2,248146,P -1,C90 F50,C90,C,90,14,2,F50,F,50,17,2,Triclinic,,
2,55347,P -1,Si16 O32,Si16,Si,16,14,3,O32,O,32,16,2,Triclinic,,
2,260696,P -1,Mo6 Ga31,Mo6,Mo,6,6,5,Ga31,Ga,31,13,4,Triclinic,,
2,260814,P -1,C84 Cl35.47,C84,C,84,14,2,Cl35.47,Cl,35.47,17,3,Triclinic,,
2,260874,P -1,Al12.59 Fe6.41,Al12.59,Al,12.59,13,3,Fe6.41,Fe,6.41,8,4,Triclinic,,
2,423062,P -1,P2 S7,P2,P,2,15,3,S7,S,7,16,3,Triclinic,,
2,262165,P -1,C90 Cl24.08,C90,C,90,14,2,Cl24.08,Cl,24.08,17,3,Triclinic,,
2,262166,P -1,C90 Cl28.89,C90,C,90,14,2,Cl28.89,Cl,28.89,17,3,Triclinic,,
2,262167,P -1,C90 Cl24,C90,C,90,14,2,Cl24,Cl,24,17,3,Triclinic,,
2,262168,P -1,C90 Cl22.68,C90,C,90,14,2,Cl22.68,Cl,22.68,17,3,Triclinic,,
2,262955,P -1,C96 Cl22.02,C96,C,96,14,2,Cl22.02,Cl,22.02,17,3,Triclinic,,
2,425146,P -1,V Cl5,V,V,1,5,4,Cl5,Cl,5,17,3,Triclinic,,
2,236255,F -1,Mn2 O3,Mn2,Mn,2,7,4,O3,O,3,16,2,Triclinic,,
2,237503,P -1,C88 Cl22.05,C88,C,88,14,2,Cl22.05,Cl,22.05,17,3,Triclinic,,
2,237587,P -1,Mo3 S4,Mo3,Mo,3,6,5,S4,S,4,16,3,Triclinic,,
2,195582,P -1,C84 Cl26,C84,C,84,14,2,Cl26,Cl,26,17,3,Triclinic,,
2,423462,P -1,W Br5,W,W,1,6,6,Br5,Br,5,17,4,Triclinic,,
2,239083,P -1,Ag1 P15,Ag1,Ag,1,11,5,P15,P,15,15,3,Triclinic,,
2,239084,P -1,Na1 P15,Na1,Na,1,1,3,P15,P,15,15,3,Triclinic,,
2,196300,P -1,Fe Se,Fe,Fe,1,8,4,Se,Se,1,16,4,Triclinic,,
2,239214,P -1,C100 Cl28,C100,C,100,14,2,Cl28,Cl,28,17,3,Triclinic,,
2,239216,P -1,C200 Cl39.93,C200,C,200,14,2,Cl39.93,Cl,39.93,17,3,Triclinic,,
2,252168,P -1,C98 Cl20.12,C98,C,98,14,2,Cl20.12,Cl,20.12,17,3,Triclinic,,
2,252548,P -1,C108 Cl12,C108,C,108,14,2,Cl12,Cl,12,17,3,Triclinic,,
2,69109,P -1,Pr24 O44,Pr24,Pr,24,3,6,O44,O,44,16,2,Triclinic,,t
