Struct.formula,Struct.formula,,族1,族2,元素1数,元素2数,Table No.
La Se1.85,La,Se1.85,3,16,1,1.85,85
La3 Ge,La3,Ge,3,14,3,1,86
Zr H,Zr,H,4,1,1,1,86
Zr3 Ge,Zr3,Ge,4,14,3,1,86
Nd S1.9,Nd,S1.9,3,16,1,1.9,86
Ta4 N5,Ta4,N5,5,15,4,5,87
H D,H,D,1,1,1,1,87
Ag4 Sc,Ag4,Sc,11,3,4,1,87
Ti5 Se4,Ti5,Se4,4,16,5,4,87
Pr9 Ga4,Pr9,Ga4,3,13,9,4,87
Ti O1.25,Ti,O1.25,4,16,1,1.25,87
Ta O2,Ta,O2,5,16,1,2,88
Al21 Pd8,Al21,Pd8,13,10,21,8,88
Pd O,Pd,O,10,16,1,1,123
Al Mn,Al,Mn,13,7,1,1,123
Bi Ce,Bi,Ce,15,3,1,1,123
Cu Ga2,Cu,Ga2,11,13,1,2,123
Ga Yb,Ga,Yb,13,3,1,1,123
Ir V,Ir,V,9,5,1,1,123
Pb Yb,Pb,Yb,14,3,1,1,123
Sn Yb,Sn,Yb,14,3,1,1,123
Hg Mn,Hg,Mn,12,7,1,1,123
In Pd3,In,Pd3,13,10,1,3,123
Pd3 Tl,Pd3,Tl,10,13,3,1,123
Cu3.1 N1.033,Cu3.1,N1.033,11,15,3.1,1.033,123
Ta Te4,Ta,Te4,5,16,1,4,124
La Ga6,La,Ga6,3,13,1,6,125
Ga6 La,Ga6,La,13,3,6,1,125
Sm Ga6,Sm,Ga6,3,13,1,6,125
Mn0.576 Si,Mn0.576,Si,7,14,0.576,1,126
Dy B4,Dy,B4,3,13,1,4,127
Al2 Th3,Al2,Th3,13,3,2,3,127
Ga5 V2,Ga5,V2,13,5,5,2,127
Lu B4,Lu,B4,3,13,1,4,127
Pt3 Ga,Pt3,Ga,10,13,3,1,127
Mo3 Si2,Mo3,Si2,6,14,3,2,127
In4 Ti3,In4,Ti3,13,4,4,3,127
Sc3 C4,Sc3,C4,3,14,3,4,128
Ba O,Ba,O,2,16,1,1,129
Nd Te1.8,Nd,Te1.8,3,16,1,1.8,129
Dy Se1.836,Dy,Se1.836,3,16,1,1.836,129
Er Se2,Er,Se2,3,16,1,2,129
Fe Te,Fe,Te,8,16,1,1,129
Bi2 Th,Bi2,Th,15,3,2,1,129
Hf Au,Hf,Au,4,11,1,1,129
Dy S2,Dy,S2,3,16,1,2,129
Hf Sb2,Hf,Sb2,4,15,1,2,129
Nd Se2,Nd,Se2,3,16,1,2,129
Tb S2,Tb,S2,3,16,1,2,129
Yb Te2,Yb,Te2,3,16,1,2,129
