A,B,x,y,Chiral
5,17,1,5,0
6,16,3,4,0
6,16,7,8,0
13,16,2,3,0
9,17,1,3,0
1,15,1,3,0
6,17,1,5,0
3,16,2,3,0
1,15,1,3,0
11,15,2,7,0
13,17,1,3,0
2,15,1,3,0
7,15,3,4,0
12,16,1,2,0
5,1,2,1,0
5,1,2,1,0
16,17,1,6,0
11,16,1,2,0
6,16,4.33,8,0
3,16,5,7,0
14,16,1,2,0
5,15,7,4,0
4,15,7,4,0
13,11,1,1,0
13,17,1,3,0
10,17,1,2,0
7,15,2.896,2,0
13,16,2.427,3.64,0
3,16,15,22,0
13,16,1,1,0
11,16,1,1,0
2,15,5,8,0
3,16,0.93,1,0
6,16,1,2,0
7,15,3,2,0
1,14,1,60,0
4,16,1,2,0
3,16,2,5,0
13,16,2,5,0
5,16,5,8,0
7,15,4,3,0
1,15,1,2,0
5,15,1,2,0
13,16,2,3,0
3,16,1,1,0
4,16,11,4,0
6,17,1,3,0
4,16,2,1,0
5,16,3,4,0
14,16,32,64,0
2,14,5,6,0
3,16,8,3,0
9,16,1.137,2,0
9,16,1.278,2,0
9,16,1.398,2,0
9,16,1.528,2,0
9,16,1.653,2,0
9,16,1.872,2,0
5,16,1,2,0
14,15,1,1,0
3,15,1,3,0
2,15,1,3,0
15,17,1,3,0
5,16,14,6,0
3,17,4,5,0
3,17,6.7,10.5,0
5,17,1,5,0
1,15,5,4,0
3,16,5,7,0
5,17,1,4,0
4,16,8,3,0
5,16,4.64,4,0
4,15,7,4,0
6,17,1,5,0
4,16,1,2,0
5,16,0.625,1,0
2,15,1,3,0
5,16,2.724,4,0
5,15,1,2,0
9,13,1,1.26,0
15,10,2,1,0
8,14,1,1,0
15,14,1,1,0
9,13,1,1.375,0
9,13,1,1.5,0
4,16,3,4,0
3,16,5,7,0
9,14,1,1,0
10,14,3,1,0
8,14,1,2,0
6,15,1,2,0
5,15,3,5,0
10,16,3,4,0
10,16,2,3,0
14,16,24,48,0
10,16,1,1,0
10,16,3,4,0
15,17,1,5,0
14,16,44,88,0
10,16,1,2,0
5,17,1,5,0
11,17,1,2,0
9,16,3,4,0
9,16,1,2,0
3,15,16,39,0
9,16,1,2,0
4,16,45,16,0
4,16,6,11,0
2,14,1,2,0
1,15,5,4,0
1,15,5,4,0
2,15,1,1,0
5,16,3,4,0
13,16,2,1,0
5,16,7,3,0
5,16,12,29,0
3,13,1.069,28,0
9,16,0.885,2,0
4,16,5,5,0
13,1,4,9,0
13,6,8,3,0
13,8,13,4,0
13,8,13,4,0
1,14,3.82,60,0
1,15,5,4,0
1,15,5,4,0
1,15,5,4,0
