Table No.,ICSD No.,Space Group,Struct.formula,,元素1,元素1数,族1,周期1,,元素2,元素2数,族2,周期2,晶系,,
152,67862,P 31 2 1,Cd Te,Cd,Cd,1,12,5,Te,Te,1,16,5,Trigonal,,
152,79638,P 31 2 1,Ge O2,Ge,Ge,1,14,4,O2,O,2,16,2,Trigonal,,
152,80075,P 31 2 1,Zn Te,Zn,Zn,1,12,4,Te,Te,1,16,5,Trigonal,,
152,53655,P 31 2 1,Ir Ge4,Ir,Ir,1,9,6,Ge4,Ge,4,14,4,Trigonal,,
152,51575,P 31 2 1,B2 O3,B2,B,2,13,2,O3,O,3,16,2,Trigonal,,
152,637677,P 31 2 1,Rh Ge4,Rh,Rh,1,9,5,Ge4,Ge,4,14,4,Trigonal,,
152,648931,P 31 2 1,Pd20 Sn13,Pd20,Pd,20,10,5,Sn13,Sn,13,14,5,Trigonal,,
152,651997,P 31 2 1,Te0.25 Se0.75,Te0.25,Te,0.25,16,5,Se0.75,Se,0.75,16,4,Trigonal,,
152,651998,P 31 2 1,Te0.5 Se0.5,Te0.5,Te,0.5,16,5,Se0.5,Se,0.5,16,4,Trigonal,,
152,261194,P 31 2 1,Be F2,Be,Be,1,2,2,F2,F,2,17,2,Trigonal,,
152,24565,P 32 2 1,V7 S8,V7,V,7,5,4,S8,S,8,16,3,Trigonal,c,
152,639202,P 32 2 1,Hg Se,Hg,Hg,1,12,6,Se,Se,1,16,4,Trigonal,c,
152,195513,P 32 2 1,Pd7.19 Sn4.31,Pd7.19,Pd,7.19,10,5,Sn4.31,Sn,4.31,14,5,Trigonal,c,
152,41493,P 31 2 1,Ti O2,Ti,Ti,1,4,4,O2,O,2,16,2,Trigonal,,t
152,181495,P 31 2 1,Ir C4,Ir,Ir,1,9,6,C4,C,4,14,2,Trigonal,,t
152,670929,P 31 2 1,O2 Si,O2,O,2,16,2,Si,Si,1,14,3,Trigonal,,t
153,33578,P 32 1 2,Cr Cl3,Cr,Cr,1,6,4,Cl3,Cl,3,17,3,Trigonal,,
153,26070,P 31 1 2,Ti Cl3,Ti,Ti,1,4,4,Cl3,Cl,3,17,3,Trigonal,c,
153,71098,P 31 1 2,V6 C5,V6,V,6,5,4,C5,C,5,14,2,Trigonal,c,
153,20717,P 31 1 2,Ru Cl3,Ru,Ru,1,8,5,Cl3,Cl,3,17,3,Trigonal,c,
