Table No.,ICSD No.,Space Group,Struct.formula,,元素1,元素1数,族1,周期1,,元素2,元素2数,族2,周期2,晶系,,
32,4111,P b a 2,Mo17 O47,Mo17,Mo,17,6,5,O47,O,47,16,2,Orthorhombic,,
33,860,P n a 21,Cs4 O,Cs4,Cs,4,1,6,O,O,1,16,2,Orthorhombic,,
33,1692,P n a 21,Zn Cl2,Zn,Zn,1,12,4,Cl2,Cl,2,17,3,Orthorhombic,,
33,15009,P n a 21,Fe As,Fe,Fe,1,8,4,As,As,1,15,4,Orthorhombic,,
33,15057,P n a 21,Fe P,Fe,Fe,1,8,4,P,P,1,15,3,Orthorhombic,,
33,15390,P 21 n b,S3 O9,S3,S,3,16,3,O9,O,9,16,2,Orthorhombic,,
33,16140,P n 21 a,P4 Se5,P4,P,4,15,3,Se5,Se,5,16,4,Orthorhombic,,
33,18185,P 21 n b,S O3,S,S,1,16,3,O3,O,3,16,2,Orthorhombic,,
33,4109,P n a 21,Sb2 O4,Sb2,Sb,2,15,5,O4,O,4,16,2,Orthorhombic,,
33,15065,P n a 21,Co As,Co,Co,1,9,4,As,As,1,15,4,Orthorhombic,,
33,2866,P n 21 a,Bi Cl3,Bi,Bi,1,15,6,Cl3,Cl,3,17,3,Orthorhombic,,
33,23620,P b n 21,Li P5,Li,Li,1,1,2,P5,P,5,15,3,Orthorhombic,,
33,26199,P n a 21,Cd P2,Cd,Cd,1,12,5,P2,P,2,15,3,Orthorhombic,,
33,30539,P n 21 a,Ce S2,Ce,Ce,1,3,6,S2,S,2,16,3,Orthorhombic,,
33,31973,P n a 21,Nb2 C,Nb2,Nb,2,5,5,C,C,1,14,2,Orthorhombic,,
33,32734,P 21 c n,Nb6 I11,Nb6,Nb,6,5,5,I11,I,11,17,5,Orthorhombic,,
33,35132,P n 21 a,As F3,As,As,1,15,4,F3,F,3,17,2,Orthorhombic,,
33,34370,P n 21 a,Si O2,Si,Si,1,14,3,O2,O,2,16,2,Orthorhombic,,
33,50198,P c 21 n,Br2 O,Br2,Br,2,17,4,O,O,1,16,2,Orthorhombic,,
33,41115,P n 21 a,U Te5,U,U,1,3,7,Te5,Te,5,16,5,Orthorhombic,,
33,78945,P n a 21,Zr3 N4,Zr3,Zr,3,4,5,N4,N,4,15,2,Orthorhombic,,
33,84375,P n a 21,Al2 O3,Al2,Al,2,13,3,O3,O,3,16,2,Orthorhombic,,
33,201573,P n 21 a,Mo4 O11,Mo4,Mo,4,6,5,O11,O,11,16,2,Orthorhombic,,
33,201710,P n a 21,B12 H16,B12,B,12,13,2,H16,H,16,1,1,Orthorhombic,,
