Table No.,ICSD No.,Space Group,Struct.formula,,元素1,元素1数,族1,周期1,,元素2,元素2数,族2,周期2,晶系,,
21,41774,C 2 2 2,Ta2 H,Ta2,Ta,2,5,6,H,H,1,1,1,Orthorhombic,,
21,651605,C 2 2 2,Tb Sb2,Tb,Tb,1,3,6,Sb2,Sb,2,15,5,Orthorhombic,,
21,651689,C 2 2 2,Tm Sb2,Tm,Tm,1,3,6,Sb2,Sb,2,15,5,Orthorhombic,,
21,16756,C 2 2 2,U3 O8,U3,U,3,3,7,O8,O,8,16,2,Orthorhombic,,
21,56192,C 2 2 2,V4 D3,V4,V,4,5,4,D3,D,3,1,1,Orthorhombic,,
21,73719,C 2 2 2,W3 O8,W3,W,3,6,6,O8,O,8,16,2,Orthorhombic,,
21,651733,C 2 2 2,Y Sb2,Y,Y,1,3,5,Sb2,Sb,2,15,5,Orthorhombic,,
22,54126,F 2 2 2,Cu O2,Cu,Cu,1,11,4,O2,O,2,16,2,Orthorhombic,,
22,34419,F 2 2 2,V O2,V,V,1,5,4,O2,O,2,16,2,Orthorhombic,,
75,20832,P 4,Pd1.5 H2,Pd1.5,Pd,1.5,10,5,H2,H,2,1,1,Tetragonal,,
75,60603,P 4,Nb Te4,Nb,Nb,1,5,5,Te4,Te,4,16,5,Tetragonal,,
75,90382,P 4,Ce Te2,Ce,Ce,1,3,6,Te2,Te,2,16,5,Tetragonal,,
75,92509,P 4,Pr Te2,Pr,Pr,1,3,6,Te2,Te,2,16,5,Tetragonal,,
75,155986,P 4,Tb Te1.8,Tb,Tb,1,3,6,Te1.8,Te,1.8,16,5,Tetragonal,,
76,62259,P 41,Cs3 P7,Cs3,Cs,3,1,6,P7,P,7,15,3,Tetragonal,,
76,88519,P 41,B5 H9,B5,B,5,13,2,H9,H,9,1,1,Tetragonal,,
76,406486,P 41,Cs4 Ge9,Cs4,Cs,4,1,6,Ge9,Ge,9,14,4,Tetragonal,,
76,174242,P 41,Sc0.96 B15,Sc0.96,Sc,0.96,3,4,B15,B,15,13,2,Tetragonal,,
76,422423,P 41,Sc B15,Sc,Sc,1,3,4,B15,B,15,13,2,Tetragonal,,
77,17012,P 42,H2 S,H2,H,2,1,1,S,S,1,16,3,Tetragonal,,
77,27033,P 42,D2 S,D2,D,2,1,1,S,S,1,16,3,Tetragonal,,
79,24623,I 4,Th H2,Th,Th,1,3,7,H2,H,2,1,1,Tetragonal,,
79,24624,I 4,Zr H2,Zr,Zr,1,4,5,H2,H,2,1,1,Tetragonal,,
79,43538,I 4,Ta2 D,Ta2,Ta,2,5,6,D,D,1,1,1,Tetragonal,,
79,52874,I 4,Ce D2.03,Ce,Ce,1,3,6,D2.03,D,2.03,1,1,Tetragonal,,
79,52875,I 4,Ce D2.04,Ce,Ce,1,3,6,D2.04,D,2.04,1,1,Tetragonal,,
80,27040,I 41,Nb As,Nb,Nb,1,5,5,As,As,1,15,4,Tetragonal,,
80,35181,I 41,Nb O2,Nb,Nb,1,5,5,O2,O,2,16,2,Tetragonal,,
80,106392,I 41,Ce3 Ge4.7,Ce3,Ce,3,3,6,Ge4.7,Ge,4.7,14,4,Tetragonal,,
91,153253,P 41 2 2,Si64 O128,Si64,Si,64,14,3,O128,O,128,16,2,Tetragonal,,
92,165,P 41 21 2,Mn5 Si2,Mn5,Mn,5,7,4,Si2,Si,2,14,3,Tetragonal,,
92,1079,P 41 21 2,Mg As4,Mg,Mg,1,2,3,As4,As,4,15,4,Tetragonal,,
92,1287,P 41 21 2,Ni2 Y3,Ni2,Ni,2,10,4,Y3,Y,3,3,5,Tetragonal,,
92,10015,P 41 21 2,As2 O5,As2,As,2,15,4,O5,O,5,16,2,Tetragonal,,
92,14195,P 41 21 2,Sn F2,Sn,Sn,1,14,5,F2,F,2,17,2,Tetragonal,,
92,9327,P 41 21 2,Si O2,Si,Si,1,14,3,O2,O,2,16,2,Tetragonal,,
92,16817,P 41 21 2,H2 O,H2,H,2,1,1,O,O,1,16,2,Tetragonal,,
92,20357,P 41 21 2,Zr5 Si4,Zr5,Zr,5,4,5,Si4,Si,4,14,3,Tetragonal,,
92,23783,P 41 21 2,Ge O2,Ge,Ge,1,14,4,O2,O,2,16,2,Tetragonal,,
92,27515,P 41 21 2,Te O2,Te,Te,1,16,5,O2,O,2,16,2,Tetragonal,,
92,28067,P 41 21 2,D2 O2,D2,D,2,1,1,O2,O,2,16,2,Tetragonal,,
92,23704,P 41 21 2,D2 O,D2,D,2,1,1,O,O,1,16,2,Tetragonal,,
92,30602,P 41 21 2,H O2 H,H,H,1,1,1,O2,O,2,16,2,Tetragonal,,
92,34253,P 41 21 2,H2 O2,H2,H,2,1,1,O2,O,2,16,2,Tetragonal,,
92,35331,P 41 21 2,Al B12,Al,Al,1,13,3,B12,B,12,13,2,Tetragonal,,
92,34853,P 41 21 2,Ni11 As8,Ni11,Ni,11,10,4,As8,As,8,15,4,Tetragonal,,
92,60761,P 41 21 2,Pt3 I8,Pt3,Pt,3,10,6,I8,I,8,17,5,Tetragonal,,
92,40428,P 41 21 2,Zn P4,Zn,Zn,1,12,4,P4,P,4,15,3,Tetragonal,,
92,78162,P 41 21 2,Tl2 S2,Tl2,Tl,2,13,6,S2,S,2,16,3,Tetragonal,,
92,70048,P 41 21 2,Fe21.34 O32,Fe21.34,Fe,21.34,8,4,O32,O,32,16,2,Tetragonal,,
92,410107,P 41 21 2,Br7 In5,Br7,Br,7,17,4,In5,In,5,13,5,Tetragonal,,
92,43080,P 41 21 2,Ti5 Si4,Ti5,Ti,5,4,4,Si4,Si,4,14,3,Tetragonal,,
92,53043,P 41 21 2,Hf5 Si4,Hf5,Hf,5,4,6,Si4,Si,4,14,3,Tetragonal,,
92,94986,P 41 21 2,La5 Si4,La5,La,5,3,6,Si4,Si,4,14,3,Tetragonal,,
92,94987,P 41 21 2,Nd5 Si4,Nd5,Nd,5,3,6,Si4,Si,4,14,3,Tetragonal,,
92,95099,P 41 21 2,Pr5 Si4,Pr5,Pr,5,3,6,Si4,Si,4,14,3,Tetragonal,,
92,18137,P 41 21 2,Zn P2,Zn,Zn,1,12,4,P2,P,2,15,3,Tetragonal,,
92,98406,P 41 21 2,C O2,C,C,1,14,2,O2,O,2,16,2,Tetragonal,,
92,614665,P 41 21 2,Li B11,Li,Li,1,1,2,B11,B,11,13,2,Tetragonal,,
92,620210,P 41 21 2,Cd P2,Cd,Cd,1,12,5,P2,P,2,15,3,Tetragonal,,
92,622142,P 41 21 2,Ce5 Si4,Ce5,Ce,5,3,6,Si4,Si,4,14,3,Tetragonal,,
92,638154,P 41 21 2,Zr5 Ge4,Zr5,Zr,5,4,5,Ge4,Ge,4,14,4,Tetragonal,,
92,172906,P 41 21 2,Fe2 O3,Fe2,Fe,2,8,4,O3,O,3,16,2,Tetragonal,,
92,174241,P 41 21 2,Mg4.8 B44,Mg4.8,Mg,4.8,2,3,B44,B,44,13,2,Tetragonal,,
92,260701,P 41 21 2,Mg4.77 B44,Mg4.77,Mg,4.77,2,3,B44,B,44,13,2,Tetragonal,,
92,260706,P 41 21 2,Mg4.78 B44,Mg4.78,Mg,4.78,2,3,B44,B,44,13,2,Tetragonal,,
96,1091,P 43 21 2,Al3.24 B44,Al3.24,Al,3.24,13,3,B44,B,44,13,2,Tetragonal,,
96,1459,P 43 21 2,Al1.67 B22,Al1.67,Al,1.67,13,3,B22,B,22,13,2,Tetragonal,,
96,16500,P 43 21 2,Cd P2,Cd,Cd,1,12,5,P2,P,2,15,3,Tetragonal,,
96,16550,P 43 21 2,Cu2 S,Cu2,Cu,2,11,4,S,S,1,16,3,Tetragonal,,
96,34889,P 43 21 2,Si O2,Si,Si,1,14,3,O2,O,2,16,2,Tetragonal,,
96,35643,P 43 21 2,Fe21.333 O32,Fe21.333,Fe,21.333,8,4,O32,O,32,16,2,Tetragonal,,
96,62897,P 43 21 2,Te O2,Te,Te,1,16,5,O2,O,2,16,2,Tetragonal,,
96,87121,P 43 21 2,Fe1.966 O2.963,Fe1.966,Fe,1.966,8,4,O2.963,O,2.963,16,2,Tetragonal,,
96,250014,P 43 21 2,Zn P2,Zn,Zn,1,12,4,P2,P,2,15,3,Tetragonal,,
96,612546,P 43 21 2,Be B6,Be,Be,1,2,2,B6,B,6,13,2,Tetragonal,,
96,424098,P 43 21 2,Ba3 Sn2,Ba3,Ba,3,2,6,Sn2,Sn,2,14,5,Tetragonal,,
98,16037,I 41 2 2,Cd As2,Cd,Cd,1,12,5,As2,As,2,15,4,Tetragonal,,
143,24768,P 3,Cr Br3,Cr,Cr,1,6,4,Br3,Br,3,17,4,Trigonal,,
143,36281,P 3,Fe2 O3,Fe2,Fe,2,8,4,O3,O,3,16,2,Trigonal,,
143,200593,P 3,Ni2 H,Ni2,Ni,2,10,4,H,H,1,1,1,Trigonal,,
143,105519,P 3,Al5 Mo,Al5,Al,5,13,3,Mo,Mo,1,6,5,Trigonal,,
143,97183,P 3,Si1.016 O2,Si1.016,Si,1.016,14,3,O2,O,2,16,2,Trigonal,,
143,106276,P 3,Au1.01 Cd0.99,Au1.01,Au,1.01,11,6,Cd0.99,Cd,0.99,12,5,Trigonal,,
143,290322,P 3,Zn O,Zn,Zn,1,12,4,O,O,1,16,2,Trigonal,,
143,290323,P 3,Zn0.98 O,Zn0.98,Zn,0.98,12,4,O,O,1,16,2,Trigonal,,
