Table No.,ICSD No.,Space Group,Struct.formula,,å≥ëf1,å≥ëf1êî,ë∞1,é¸ä˙1,,å≥ëf2,å≥ëf2êî,ë∞2,é¸ä˙2,èªån,,
186,621930,P 63 m c,Ce3 Rh,Ce3,Ce,3,3,6,Rh,Rh,1,9,5,Hexagonal,,
186,624382,P 63 m c,Nd24 Co11,Nd24,Nd,24,3,6,Co11,Co,11,9,4,Hexagonal,,
186,624383,P 63 m c,Nd7 Co3,Nd7,Nd,7,3,6,Co3,Co,3,9,4,Hexagonal,,
186,625427,P 63 m c,Th7 Co3,Th7,Th,7,3,7,Co3,Co,3,9,4,Hexagonal,,
186,630146,P 63 m c,Dy7 Rh3,Dy7,Dy,7,3,6,Rh3,Rh,3,9,5,Hexagonal,,
186,633893,P 63 m c,Th7 Fe3,Th7,Th,7,3,7,Fe3,Fe,3,8,4,Hexagonal,,
186,633897,P 63 m c,Fe3 Th7,Fe3,Fe,3,8,4,Th7,Th,7,3,7,Hexagonal,,
186,636199,P 63 m c,Gd7 Pt3,Gd7,Gd,7,3,6,Pt3,Pt,3,10,6,Hexagonal,,
186,636258,P 63 m c,Gd7 Rh3,Gd7,Gd,7,3,6,Rh3,Rh,3,9,5,Hexagonal,,
186,639621,P 63 m c,Ho7 Rh3,Ho7,Ho,7,3,6,Rh3,Rh,3,9,5,Hexagonal,,
186,640432,P 63 m c,In Sb,In,In,1,13,5,Sb,Sb,1,15,5,Hexagonal,,
186,640737,P 63 m c,La7 Ir3,La7,La,7,3,6,Ir3,Ir,3,9,6,Hexagonal,,
186,640912,P 63 m c,Pr7 Ir3,Pr7,Pr,7,3,6,Ir3,Ir,3,9,6,Hexagonal,,
186,641096,P 63 m c,Th7 Ir3,Th7,Th,7,3,7,Ir3,Ir,3,9,6,Hexagonal,,
186,641661,P 63 m c,La7 Pd3,La7,La,7,3,6,Pd3,Pd,3,10,5,Hexagonal,,
186,641692,P 63 m c,La7 Pt3,La7,La,7,3,6,Pt3,Pt,3,10,6,Hexagonal,,
186,641725,P 63 m c,La3 Rh,La3,La,3,3,6,Rh,Rh,1,9,5,Hexagonal,,
186,641726,P 63 m c,La7 Rh3,La7,La,7,3,6,Rh3,Rh,3,9,5,Hexagonal,,
186,643594,P 63 m c,Mn Se,Mn,Mn,1,7,4,Se,Se,1,16,4,Hexagonal,,
186,644794,P 63 m c,Tl N,Tl,Tl,1,13,6,N,N,1,15,2,Hexagonal,,
186,645607,P 63 m c,Nd7 Ni3,Nd7,Nd,7,3,6,Ni3,Ni,3,10,4,Hexagonal,,
186,645707,P 63 m c,Nd7 Pd3,Nd7,Nd,7,3,6,Pd3,Pd,3,10,5,Hexagonal,,
186,645735,P 63 m c,Nd7 Pt3,Nd7,Nd,7,3,6,Pt3,Pt,3,10,6,Hexagonal,,
186,645760,P 63 m c,Nd7.5 Rh2.5,Nd7.5,Nd,7.5,3,6,Rh2.5,Rh,2.5,9,5,Hexagonal,,
186,645761,P 63 m c,Nd7 Rh3,Nd7,Nd,7,3,6,Rh3,Rh,3,9,5,Hexagonal,,
186,646097,P 63 m c,Ni1.334 O2,Ni1.334,Ni,1.334,10,4,O2,O,2,16,2,Hexagonal,,
186,646243,P 63 m c,Pr7 Ni3,Pr7,Pr,7,3,6,Ni3,Ni,3,10,4,Hexagonal,,
186,646929,P 63 m c,Th7 Ni3,Th7,Th,7,3,7,Ni3,Ni,3,10,4,Hexagonal,,
186,647834,P 63 m c,Th7 Os3,Th7,Th,7,3,7,Os3,Os,3,8,6,Hexagonal,,
186,648099,P 63 m c,Sc7 P3,Sc7,Sc,7,3,4,P3,P,3,15,3,Hexagonal,,
186,648685,P 63 m c,Pr7 Pd3,Pr7,Pr,7,3,6,Pd3,Pd,3,10,5,Hexagonal,,
186,648900,P 63 m c,Sm7 Pd3,Sm7,Sm,7,3,6,Pd3,Pd,3,10,5,Hexagonal,,
186,649197,P 63 m c,Pr7 Pt3,Pr7,Pr,7,3,6,Pt3,Pt,3,10,6,Hexagonal,,
186,649222,P 63 m c,Pr7 Rh3,Pr7,Pr,7,3,6,Rh3,Rh,3,9,5,Hexagonal,,
186,649655,P 63 m c,Sm7 Pt3,Sm7,Sm,7,3,6,Pt3,Pt,3,10,6,Hexagonal,,
186,649758,P 63 m c,Th7 Pt3,Th7,Th,7,3,7,Pt3,Pt,3,10,6,Hexagonal,,
186,649860,P 63 m c,Y7 Pt3,Y7,Y,7,3,5,Pt3,Pt,3,10,6,Hexagonal,,
186,650360,P 63 m c,Sm7 Rh3,Sm7,Sm,7,3,6,Rh3,Rh,3,9,5,Hexagonal,,
186,650429,P 63 m c,Tb7 Rh3,Tb7,Tb,7,3,6,Rh3,Rh,3,9,5,Hexagonal,,
186,650458,P 63 m c,Rh3 Th7,Rh3,Rh,3,9,5,Th7,Th,7,3,7,Hexagonal,,
186,650463,P 63 m c,Th7 Rh3,Th7,Th,7,3,7,Rh3,Rh,3,9,5,Hexagonal,,
186,650528,P 63 m c,Y7 Rh3,Y7,Y,7,3,5,Rh3,Rh,3,9,5,Hexagonal,,
186,650724,P 63 m c,Th7 Ru3,Th7,Th,7,3,7,Ru3,Ru,3,8,5,Hexagonal,,
186,651195,P 63 m c,Ti2.5 S4,Ti2.5,Ti,2.5,4,4,S4,S,4,16,3,Hexagonal,,
186,658986,P 63 m c,Mg Se,Mg,Mg,1,2,3,Se,Se,1,16,4,Hexagonal,,
186,150944,P 63 m c,Nb Co3,Nb,Nb,1,5,5,Co3,Co,3,9,4,Hexagonal,,
186,414242,P 63 m c,Li I,Li,Li,1,1,2,I,I,1,17,5,Hexagonal,,
186,162607,P 63 m c,Mg O,Mg,Mg,1,2,3,O,O,1,16,2,Hexagonal,,
186,166523,P 63 m c,Ti7.5 S12,Ti7.5,Ti,7.5,4,4,S12,S,12,16,3,Hexagonal,,
186,422451,P 63 m c,Bi2 O3,Bi2,Bi,2,15,6,O3,O,3,16,2,Hexagonal,,
186,245158,P 63 m c,Sm12.72 Zn59.08,Sm12.72,Sm,12.72,3,6,Zn59.08,Zn,59.08,12,4,Hexagonal,,
186,245159,P 63 m c,Gd12.71 Zn59.50,Gd12.71,Gd,12.71,3,6,Zn59.50,Zn,59.5,12,4,Hexagonal,,
186,245161,P 63 m c,Dy12.60 Zn59.22,Dy12.60,Dy,12.6,3,6,Zn59.22,Zn,59.22,12,4,Hexagonal,,
186,245160,P 63 m c,Tb12.64 Zn59.10,Tb12.64,Tb,12.64,3,6,Zn59.10,Zn,59.1,12,4,Hexagonal,,
186,245231,P 63 m c,Mo0.93 N,Mo0.93,Mo,0.93,6,5,N,N,1,15,2,Hexagonal,,
186,245232,P 63 m c,Mo0.98 N,Mo0.98,Mo,0.98,6,5,N,N,1,15,2,Hexagonal,,
186,245611,P 63 m c,Ca Ge2,Ca,Ca,1,2,4,Ge2,Ge,2,14,4,Hexagonal,,
186,262928,P 63 m c,Mn O,Mn,Mn,1,7,4,O,O,1,16,2,Hexagonal,,
186,236216,P 63 m c,Zn0.8 O0.8,Zn0.8,Zn,0.8,12,4,O0.8,O,0.8,16,2,Hexagonal,,
186,192507,P 63 m c,Ge H,Ge,Ge,1,14,4,H,H,1,1,1,Hexagonal,,
186,195284,P 63 m c,Ta1.11 S2,Ta1.11,Ta,1.11,5,6,S2,S,2,16,3,Hexagonal,,
186,195285,P 63 m c,Ta1.09 S2,Ta1.09,Ta,1.09,5,6,S2,S,2,16,3,Hexagonal,,
186,430071,P 63 m c,B3 Ni7,B3,B,3,13,2,Ni7,Ni,7,10,4,Hexagonal,,
186,252269,P 63 m c,C D,C,C,1,14,2,D,D,1,1,1,Hexagonal,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
