Table No.,ICSD No.,Space Group,Struct.formula,,å≥ëf1,å≥ëf1êî,ë∞1,é¸ä˙1,,å≥ëf2,å≥ëf2êî,ë∞2,é¸ä˙2,èªån,
92,260701,P 41 21 2,Mg4.77 B44,Mg4.77,Mg,4.77,2,3,B44,B,44,13,2,Tetragonal,
92,260706,P 41 21 2,Mg4.78 B44,Mg4.78,Mg,4.78,2,3,B44,B,44,13,2,Tetragonal,
96,1091,P 43 21 2,Al3.24 B44,Al3.24,Al,3.24,13,3,B44,B,44,13,2,Tetragonal,
96,1459,P 43 21 2,Al1.67 B22,Al1.67,Al,1.67,13,3,B22,B,22,13,2,Tetragonal,
96,16500,P 43 21 2,Cd P2,Cd,Cd,1,12,5,P2,P,2,15,3,Tetragonal,
96,16550,P 43 21 2,Cu2 S,Cu2,Cu,2,11,4,S,S,1,16,3,Tetragonal,
96,34889,P 43 21 2,Si O2,Si,Si,1,14,3,O2,O,2,16,2,Tetragonal,
96,35643,P 43 21 2,Fe21.333 O32,Fe21.333,Fe,21.333,8,4,O32,O,32,16,2,Tetragonal,
96,62897,P 43 21 2,Te O2,Te,Te,1,16,5,O2,O,2,16,2,Tetragonal,
96,87121,P 43 21 2,Fe1.966 O2.963,Fe1.966,Fe,1.966,8,4,O2.963,O,2.963,16,2,Tetragonal,
96,250014,P 43 21 2,Zn P2,Zn,Zn,1,12,4,P2,P,2,15,3,Tetragonal,
96,612546,P 43 21 2,Be B6,Be,Be,1,2,2,B6,B,6,13,2,Tetragonal,
96,424098,P 43 21 2,Ba3 Sn2,Ba3,Ba,3,2,6,Sn2,Sn,2,14,5,Tetragonal,
98,16037,I 41 2 2,Cd As2,Cd,Cd,1,12,5,As2,As,2,15,4,Tetragonal,
111,445,P -4 2 m,B50.06 N1.87,B50.06,B,50.06,13,2,N1.87,N,1.87,15,2,Tetragonal,
111,12167,P -4 2 m,Mn F2,Mn,Mn,1,7,4,F2,F,2,17,2,Tetragonal,
111,108030,P -4 2 m,B49.95 C1.83,B49.95,B,49.95,13,2,C1.83,C,1.83,14,2,Tetragonal,
113,1509,P -4 21 m,W5 O14,W5,W,5,6,6,O14,O,14,16,2,Tetragonal,
113,16359,P -4 21 m,Ba Se3,Ba,Ba,1,2,6,Se3,Se,3,16,4,Tetragonal,
113,239,P -4 21 m,Cu3 Se2,Cu3,Cu,3,11,4,Se2,Se,2,16,4,Tetragonal,
113,23637,P -4 21 m,Ba S3,Ba,Ba,1,2,6,S3,S,3,16,3,Tetragonal,
